,rownumber,customerid,surname,creditscore,geography,tenure,balance,numofproducts,estimatedsalary
rownumber,1.0,0.004201793589117236,0.0016822532450625571,0.005840161603577083,-0.010357856554023407,-0.006494740413340737,-0.009066685224007599,0.007246245023240859,-0.0059884565552547515
customerid,0.004201793589117236,1.0,0.005689088456995973,0.005307900604412735,0.00651583875678189,-0.014882553918484809,-0.012418700275205082,0.016971877134930008,0.015270680744753684
surname,0.0016822532450625571,0.005689088456995973,1.0,0.0074889161368357346,-0.022877663978752454,-0.017412309447341137,0.0026572809753253575,-0.016460009992221365,0.011849711639810565
creditscore,0.005840161603577083,0.005307900604412735,0.0074889161368357346,1.0,0.007888128545815436,0.0008419418186461318,0.0062683816160088975,0.012237879283267987,-0.0013842928679844149
geography,-0.010357856554023407,0.00651583875678189,-0.022877663978752454,0.007888128545815436,1.0,0.0037387848501085966,0.0694081216557261,0.0039721338768304235,-0.0013685636681666073
tenure,-0.006494740413340737,-0.014882553918484809,-0.017412309447341137,0.0008419418186461318,0.0037387848501085966,1.0,-0.012253926175215429,0.013443755460747366,0.007783825455810554
balance,-0.009066685224007599,-0.012418700275205082,0.0026572809753253575,0.0062683816160088975,0.0694081216557261,-0.012253926175215429,1.0,-0.3041797383605498,0.012797496340555773
numofproducts,0.007246245023240859,0.016971877134930008,-0.016460009992221365,0.012237879283267987,0.0039721338768304235,0.013443755460747366,-0.3041797383605498,1.0,0.014204195129094608
estimatedsalary,-0.0059884565552547515,0.015270680744753684,0.011849711639810565,-0.0013842928679844149,-0.0013685636681666073,0.007783825455810554,0.012797496340555773,0.014204195129094608,1.0
